BARCODE,ITEM DESCRIPTION,, SUPPLIER , SELLING PRICE , PURCHASE PRICE , REV ,,,,
4808647010026,CHEEZWHIZ 210g BOTT,,CONSUMER, 99.00 , 92.50 , 6.50 ,,,,
7622210074980,CHEEZWHIZ 210g DOY,,CONSUMER, 87.00 , 81.25 , 5.75 ,,,,
4808647010033,CHEEZWHIZ 440G ,,CONSUMER, 163.00 , 153.00 , 10.00 ,,,,
7622300501525,CHEEZWHIZ 62g ,,CONSUMER, 34.00 , 29.00 , 5.00 ,,,,
4808647010057,CHEEZWHIZ PIMIENTO - BOTTLE (210g) ,,CONSUMER, 91.00 , 85.72 , 5.28 ,,,,
7622300769406,CHEEZWHIZ PIMIENTO 110g ,,CONSUMER, 54.00 , 47.50 , 6.50 ,,,,
7622210075017,CHEEZWHIZ PIMIENTO 210g ,,CONSUMER, 94.00 , 86.50 , 7.50 ,,,,
7622210895097,CHEEZWHIZ TWIN ,,CONSUMER, 14.00 , 11.75 , 2.25 ,,,,
8850338002854,CLORETS ,,CONSUMER, 35.00 , 30.68 , 4.32 ,,,,
4808647020094,EDEN 165g ,,CONSUMER, 59.00 , 54.75 , 4.25 ,,,,
4808647020100,EDEN 430G ,,CONSUMER, 149.00 , 140.25 , 8.75 ,,,,
7622210641212,EDEN CHEESE 104g,,CONSUMER, 47.00 , 43.25 , 3.75 ,,,,
7622210641311,EDEN CHEESE 208g,,CONSUMER, 82.00 , 78.50 , 3.50 ,,,,
7622300239527,EDEN CHEESE MELT 160G,,CONSUMER, 98.00 , 92.00 , 6.00 ,,,,
7622210278371,EDEN MAYO 220ml ,,CONSUMER, 88.00 , 82.75 , 5.25 ,,,,
7622210278234,EDEN MAYO -SACHET ,,CONSUMER, 34.00 , 29.53 , 4.47 ,,,,
7622210892126,EDEN sulit pack ,,CONSUMER, 19.00 , 16.00 , 3.00 ,,,,
7622210595928,EDEN sulit pack ,,CONSUMER, 17.00 , 12.93 , 4.07 ,,,,
4800092111228,MARIE TIME ,,CONSUMER, 22.00 , 18.09 , 3.91 ,,,,
4800434000128,OBARR BUNDLE PACK ,,CONSUMER, 102.00 , 92.00 , 10.00 ,,,,
4892642101926,OREO CHOCO ,,CONSUMER, 76.00 , 71.00 , 5.00 ,,,,
7622300761363,OREO CUP MINI CHOCO,,CONSUMER, 39.00 , 34.55 , 4.45 ,,,,
7622300761349,OREO CUP MINI ORIG,,CONSUMER, 39.00 , 34.55 , 4.45 ,,,,
7622210515278,OREO MINI CHOCO,,CONSUMER, 14.00 , 10.91 , 3.09 ,,,,
7622210515285,OREO MINI ORIG,,CONSUMER, 14.00 , 10.91 , 3.09 ,,,,
8992760221066,OREO ORIGINAL (12PACK) ,,CONSUMER, 74.00 , 67.73 , 6.27 ,,,,
8992760121014,OREO PC ,,CONSUMER, 9.00 , 4.70 , 4.30 ,,,,
7622201404284,OREO red velvet ,,CONSUMER, 74.00 ,, NO PP ,,,,
4892642103098,OREO STRAWBERRY ,,CONSUMER, 76.00 , 71.00 , 5.00 ,,,,
4893049150012,OREO VANILLA ,,CONSUMER, 78.00 , 73.00 , 5.00 ,,,,
4800092111938,SUPERTHIN CHOCO,,CONSUMER, 58.00 , 53.85 , 4.15 ,,,,
4800092112058,SUPERTHIN MILK,,CONSUMER, 58.00 , 53.85 , 4.15 ,,,,
7622300704148,TANG APPLE ,,CONSUMER, 22.00 , 17.00 , 5.00 ,,,,
7622300858599,TANG CALAMANSI ,,CONSUMER, 23.00 , 17.00 , 6.00 ,,,,
7622300858575,TANG DALANDAN 25g,,CONSUMER, 23.00 , 18.15 , 4.85 ,,,,
7622300808365,TANG FOUR SEASONS,,CONSUMER, 23.00 , 17.00 , 5.00 ,,,,
7622300637996,TANG grape 25g ,,CONSUMER, 23.00 , 18.15 , 4.85 ,,,,
7622210706744,TANG GUYABANO ,,CONSUMER, 22.00 , 17.00 , 5.00 ,,,,
7622300858612,TANG HONEY LEMON ,,CONSUMER, 22.00 , 17.00 , 5.00 ,,,,
7622300601744,TANG ICED TEA ,,CONSUMER, 22.00 , 17.00 , 5.00 ,,,,
8850338027895,TANG LYCHEE,,CONSUMER, 23.00 , 17.00 , 6.00 ,,,,
7622300601782,TANG MANGO ,,CONSUMER, 23.00 , 17.00 , 6.00 ,,,,
7622300986728,TANG MELON ,,CONSUMER, 22.00 , 17.00 , 5.00 ,,,,
8850338024580,TANG MIXED BERRIES,,CONSUMER, 22.00 , 17.00 , 5.00 ,,,,
7622300559991,TANG ORANGE,,CONSUMER, 23.00 , 18.15 , 4.85 ,,,,
7622300601768,TANG PINEAPPLE 25g,,CONSUMER, 23.00 , 18.15 , 4.85 ,,,,
7622210706768,TANG POMELO 25g,,CONSUMER, 23.00 , 19.50 , 3.50 ,,,,
7622201706319,TANG PROMO,,CONSUMER, 135.00 , 120.00 , 15.00 ,,,,
7622300638078,TANG strawberry 25g ,,CONSUMER, 22.00 , 17.00 , 5.00 ,,,,
